Geneid	Chr	Start	End	Strand	Length	IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam
gene-SAOUHSC_00084	NC_007795.1	91163	91570	+	408	3	1	0	0	0	0	1	1	0	1	0	0
gene-SAOUHSC_00085	NC_007795.1	91620	92246	+	627	1	0	0	0	1	0	2	2	0	0	0	1
gene-SAOUHSC_00086	NC_007795.1	92458	93234	+	777	8777	755	759	3184	3128	10982	10979	6480	6483	2189	2114	3733
gene-SAOUHSC_00087	NC_007795.1	93378	93500	+	123	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00088	NC_007795.1	93570	94550	+	981	3	1	0	4	0	1	0	0	0	1	2	1
gene-SAOUHSC_00089	NC_007795.1	94513	95205	+	693	0	0	0	7	4	0	0	1	3	0	0	0
gene-SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	3	0	0	0	0	1	2	3	2	2	2	1
gene-SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	0	1	0	0	2	1	0	1	0	0	0	2
gene-SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	5	11	12	10	9	18	6	15	12	18	14	21
gene-SAOUHSC_00093	NC_007795.1	99488	100087	+	600	3	0	0	1	2	1	0	4	5	3	3	6
gene-SAOUHSC_00094	NC_007795.1	100455	101054	+	600	679	24	32	113	120	66	99	78	92	13	19	0
gene-SAOUHSC_00096	NC_007795.1	101370	102125	-	756	64	21	20	51	53	16	15	28	28	18	16	63
gene-SAOUHSC_00097	NC_007795.1	102361	103068	+	708	21	3	8	10	11	4	11	0	0	2	2	27
gene-SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	25	2	2	56	61	39	35	16	16	9	9	56
gene-SAOUHSC_00100	NC_007795.1	104508	105170	+	663	61	6	7	53	79	105	107	37	39	23	20	165
gene-SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	332	115	114	215	214	341	344	334	340	122	121	1238
gene-SAOUHSC_00102	NC_007795.1	106507	107322	-	816	18	3	2	0	0	3	1	7	7	5	2	54
gene-SAOUHSC_00103	NC_007795.1	107319	108119	-	801	10	3	4	16	2	6	5	15	12	3	4	74
gene-SAOUHSC_00104	NC_007795.1	108121	108894	-	774	12	2	0	0	0	0	0	7	7	2	1	27
gene-SAOUHSC_00105	NC_007795.1	109108	110064	-	957	4	0	0	5	4	2	2	2	0	1	1	23
gene-SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	9	8	8	1	1	2	2	16	14	4	4	38
gene-SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	8	11	11	8	7	19	19	36	35	16	16	69
gene-SAOUHSC_00108	NC_007795.1	113507	113710	+	204	1	0	0	0	1	3	0	0	0	2	0	2
gene-SAOUHSC_00109	NC_007795.1	114083	114568	+	486	0	0	0	0	0	0	0	2	0	0	0	2
gene-SAOUHSC_00111	NC_007795.1	114927	115214	+	288	0	0	0	0	0	0	0	0	0	0	0	1
gene-SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	32	4	5	37	42	20	20	16	16	10	10	230
gene-SAOUHSC_00114	NC_007795.1	119492	120160	+	669	29	5	8	2	8	13	16	6	17	1	1	17
gene-SAOUHSC_00115	NC_007795.1	120176	120862	+	687	235	67	67	107	112	371	365	251	254	14	14	266
gene-SAOUHSC_00116	NC_007795.1	120865	121629	+	765	26	29	26	7	15	56	31	62	37	4	10	67
gene-SAOUHSC_00117	NC_007795.1	121649	123472	+	1824	185	17	17	72	74	101	101	52	50	5	5	69
gene-SAOUHSC_00118	NC_007795.1	123462	124490	+	1029	64	15	10	23	17	42	31	60	51	3	3	133
gene-SAOUHSC_00119	NC_007795.1	124503	125612	+	1110	148	15	29	95	129	77	80	69	75	5	4	113
gene-SAOUHSC_00120	NC_007795.1	125616	126740	+	1125	117	45	45	70	69	87	89	59	60	0	0	68
gene-SAOUHSC_00121	NC_007795.1	126743	127369	+	627	8	24	23	7	6	27	28	37	46	1	0	1
gene-SAOUHSC_00122	NC_007795.1	127374	128483	+	1110	1	38	39	52	53	17	18	46	42	1	2	1
gene-SAOUHSC_00123	NC_007795.1	128497	129663	+	1167	0	12	14	58	74	21	21	45	45	0	0	1
gene-SAOUHSC_00124	NC_007795.1	129656	130861	+	1206	1	12	16	70	73	10	11	16	17	0	0	5
gene-SAOUHSC_00125	NC_007795.1	130862	132067	+	1206	272	33	34	81	66	179	176	208	205	81	31	54
gene-SAOUHSC_00126	NC_007795.1	132078	132635	+	558	24	16	13	13	13	11	14	22	19	1	1	11
gene-SAOUHSC_00127	NC_007795.1	132635	133522	+	888	554	111	121	133	164	347	365	353	382	10	14	258
gene-SAOUHSC_00128	NC_007795.1	133576	134838	+	1263	384	149	144	129	112	228	219	237	221	9	7	293
gene-SAOUHSC_00129	NC_007795.1	134915	136060	+	1146	120	24	23	17	20	68	67	87	87	8	3	51
gene-SAOUHSC_00130	NC_007795.1	136125	136451	-	327	5	5	5	0	0	1	1	0	1	0	0	14
gene-SAOUHSC_00131	NC_007795.1	136458	136841	-	384	7	5	5	1	1	1	1	1	1	1	0	1
gene-SAOUHSC_00132	NC_007795.1	137268	138755	+	1488	8225	675	674	2495	2521	3784	3771	4980	4965	5605	5575	11866
gene-SAOUHSC_00133	NC_007795.1	139401	140360	+	960	96	52	48	32	35	101	46	126	84	38	43	82
gene-SAOUHSC_00134	NC_007795.1	140422	140625	-	204	2	46	5	3	13	165	1	186	5	90	12	55
gene-SAOUHSC_00135	NC_007795.1	140804	141316	+	513	3	3	1	0	0	2	8	1	4	1	2	2
gene-SAOUHSC_00136	NC_007795.1	141658	142398	+	741	16	2	1	3	3	1	1	7	5	5	1	2
gene-SAOUHSC_00137	NC_007795.1	142412	143386	+	975	18	6	7	0	0	1	1	4	4	3	3	6
gene-SAOUHSC_00138	NC_007795.1	143383	144144	+	762	0	5	5	0	9	2	1	3	5	2	1	8
gene-SAOUHSC_00139	NC_007795.1	144157	145188	+	1032	18	1	1	11	10	5	5	6	6	2	3	4
gene-SAOUHSC_00141	NC_007795.1	145405	145764	+	360	69	13	12	11	9	85	83	67	67	21	20	0
gene-SAOUHSC_00142	NC_007795.1	145937	146962	+	1026	27	4	4	16	19	11	12	20	19	4	4	0
gene-SAOUHSC_00143	NC_007795.1	147348	148598	+	1251	17	5	5	10	9	2	3	2	1	4	3	0
gene-SAOUHSC_00144	NC_007795.1	149045	156220	+	7176	459	128	131	348	357	563	558	485	477	435	427	1995
gene-SAOUHSC_00145	NC_007795.1	156233	156877	+	645	28	0	0	10	10	23	23	26	26	10	10	275
gene-SAOUHSC_00146	NC_007795.1	157205	157684	-	480	622	18	17	4	4	142	137	209	208	86	84	123
gene-SAOUHSC_00147	NC_007795.1	157954	158718	-	765	85	1	0	3	8	9	11	13	12	2	3	23
gene-SAOUHSC_00148	NC_007795.1	158734	159975	-	1242	0	8	3	17	7	17	15	14	8	21	5	18
gene-SAOUHSC_00149	NC_007795.1	159987	161018	-	1032	4	3	2	0	0	1	1	1	1	2	0	10
gene-SAOUHSC_00150	NC_007795.1	161057	162241	-	1185	23	3	4	25	18	3	5	8	8	6	8	11
gene-SAOUHSC_00151	NC_007795.1	162494	163849	-	1356	6	2	1	9	11	6	6	2	1	8	8	57
gene-SAOUHSC_00152	NC_007795.1	164125	164622	-	498	14	18	3	71	32	77	22	105	34	77	13	104
gene-SAOUHSC_00153	NC_007795.1	164749	166389	-	1641	587	48	52	378	419	303	315	406	424	352	360	2809
gene-SAOUHSC_00154	NC_007795.1	166583	166684	+	102	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00155	NC_007795.1	166663	168660	-	1998	50	15	15	35	38	44	44	17	16	23	21	90
gene-SAOUHSC_00156	NC_007795.1	169309	170349	+	1041	24	40	41	45	42	108	108	69	68	37	37	200
gene-SAOUHSC_00157	NC_007795.1	170349	171245	+	897	15	13	11	19	19	36	38	27	27	18	16	163
gene-SAOUHSC_00158	NC_007795.1	171257	172711	+	1455	9	37	38	99	98	28	25	56	58	10	11	174
gene-SAOUHSC_00160	NC_007795.1	172714	173589	+	876	73	72	71	186	180	60	59	114	113	68	68	785
gene-SAOUHSC_00161	NC_007795.1	173783	174064	-	282	3	0	0	0	0	0	0	0	1	0	0	0
gene-SAOUHSC_00162	NC_007795.1	174277	177066	+	2790	7	12	7	19	13	4	2	7	3	11	5	12
gene-SAOUHSC_00163	NC_007795.1	177271	178113	+	843	7	0	0	27	27	0	0	0	0	1	1	10
gene-SAOUHSC_00164	NC_007795.1	178115	179038	+	924	0	0	0	1	1	0	0	0	0	8	14	4
gene-SAOUHSC_00166	NC_007795.1	179025	180137	+	1113	0	1	0	0	0	1	0	1	0	8	6	8
gene-SAOUHSC_00167	NC_007795.1	180402	181994	-	1593	60	5	5	12	10	36	36	52	52	21	24	74
gene-SAOUHSC_00168	NC_007795.1	181951	183429	+	1479	16	1	1	3	3	10	9	14	14	3	3	14
gene-SAOUHSC_00169	NC_007795.1	183435	184598	+	1164	2	4	6	2	3	6	5	1	2	4	0	0
gene-SAOUHSC_00170	NC_007795.1	184615	186390	+	1776	0	0	0	4	5	0	0	1	1	1	7	7
gene-SAOUHSC_00171	NC_007795.1	186428	188434	+	2007	43	7	7	8	10	14	12	16	15	23	23	81
gene-SAOUHSC_00172	NC_007795.1	188732	189505	-	774	0	2	2	4	0	5	0	3	4	4	2	2
gene-SAOUHSC_00173	NC_007795.1	189695	190321	-	627	0	5	5	1	0	3	6	10	10	2	0	0
gene-SAOUHSC_00174	NC_007795.1	190530	191108	+	579	126	1	1	6	8	2	2	34	36	5	7	41
gene-SAOUHSC_00175	NC_007795.1	191491	192588	+	1098	0	0	0	0	3	1	1	0	0	0	0	1
gene-SAOUHSC_00176	NC_007795.1	192601	193872	+	1272	13	3	1	13	3	8	1	4	4	2	2	32
gene-SAOUHSC_00177	NC_007795.1	193875	195143	+	1269	100	11	10	40	50	38	37	27	28	16	21	71
gene-SAOUHSC_00178	NC_007795.1	195145	195984	+	840	60	1	0	34	28	13	13	10	10	16	14	97
gene-SAOUHSC_00179	NC_007795.1	196058	197134	+	1077	12	0	0	6	7	7	9	18	18	10	12	64
gene-SAOUHSC_00180	NC_007795.1	197159	198199	+	1041	54	11	10	35	34	33	32	30	28	22	19	48
gene-SAOUHSC_00181	NC_007795.1	198254	199222	+	969	44	1	1	15	16	24	22	16	16	11	11	140
gene-SAOUHSC_00182	NC_007795.1	199583	200155	-	573	0	1	6	7	7	0	2	0	2	1	1	3
gene-SAOUHSC_00183	NC_007795.1	200310	201689	+	1380	3	2	1	36	36	3	4	8	7	6	8	14
gene-SAOUHSC_00184	NC_007795.1	202048	202806	-	759	0	9	1	25	10	4	1	4	1	6	4	9
gene-SAOUHSC_00185	NC_007795.1	202799	204355	-	1557	2	5	1	2	0	2	3	8	6	2	2	25
gene-SAOUHSC_00186	NC_007795.1	204352	205320	-	969	2	2	0	8	6	4	4	2	3	2	4	7
gene-SAOUHSC_00187	NC_007795.1	205908	208157	+	2250	3638	493	482	2495	2475	2647	2644	873	864	1039	1034	17330
gene-SAOUHSC_00188	NC_007795.1	208180	208935	+	756	1499	147	133	1479	1407	838	752	239	191	320	307	8779
gene-SAOUHSC_00190	NC_007795.1	209271	211034	+	1764	7	0	0	6	6	1	0	3	3	2	2	8
gene-SAOUHSC_00191	NC_007795.1	211198	211542	-	345	0	9	4	0	0	0	0	1	0	1	0	0
gene-SAOUHSC_00192	NC_007795.1	211732	213642	+	1911	1	2	9	24	7	11	19	1	1	18	15	15
gene-SAOUHSC_00193	NC_007795.1	213824	213931	-	108	0	0	0	0	4	0	0	0	0	0	3	2
gene-SAOUHSC_00195	NC_007795.1	214246	215430	-	1185	14319	882	879	1107	1059	47577	47434	2846	2841	1515	1498	6136
gene-SAOUHSC_00196	NC_007795.1	215460	217721	-	2262	8294	322	308	1167	1176	28920	28552	1623	1564	1135	1099	4376
gene-SAOUHSC_00197	NC_007795.1	217907	219118	-	1212	2737	101	106	504	462	6905	7024	527	561	449	459	1520
gene-SAOUHSC_00198	NC_007795.1	219230	220735	-	1506	2580	160	165	509	558	7540	7774	441	453	517	540	3497
gene-SAOUHSC_00199	NC_007795.1	220761	222338	-	1578	3529	384	378	549	534	18318	18224	1708	1706	1313	1302	5407
gene-SAOUHSC_00200	NC_007795.1	222779	223921	+	1143	5	3	4	9	12	10	7	11	9	0	0	49
gene-SAOUHSC_00201	NC_007795.1	224235	225647	-	1413	4	0	0	14	37	0	2	5	4	8	7	51
gene-SAOUHSC_00202	NC_007795.1	225908	226264	-	357	2	0	0	1	2	0	0	0	1	0	0	17
gene-SAOUHSC_00203	NC_007795.1	226421	226594	-	174	2	0	0	4	0	4	4	3	4	9	9	22
gene-SAOUHSC_00204	NC_007795.1	226620	227765	-	1146	201	24	24	266	265	57	62	124	122	50	51	1008
gene-SAOUHSC_00205	NC_007795.1	227920	228027	+	108	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00206	NC_007795.1	228482	229291	+	810	1440	129	128	296	292	1597	1585	974	965	330	326	2210
gene-SAOUHSC_00208	NC_007795.1	229502	229645	+	144	19	0	2	3	0	4	6	10	11	7	7	17
gene-SAOUHSC_00209	NC_007795.1	229611	231140	-	1530	117	9	2	66	60	82	75	60	42	47	36	88
gene-SAOUHSC_00211	NC_007795.1	231502	232437	+	936	15	4	4	1	2	3	3	1	1	0	0	17
gene-SAOUHSC_00212	NC_007795.1	232547	232645	+	99	0	1	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00213	NC_007795.1	232776	234872	+	2097	15	5	6	2	3	7	8	15	14	4	5	13
gene-SAOUHSC_00214	NC_007795.1	234857	235324	+	468	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00215	NC_007795.1	235347	235625	+	279	1	1	1	0	0	0	0	0	0	0	0	2
gene-SAOUHSC_00216	NC_007795.1	235852	237111	+	1260	23	4	6	3	2	21	23	29	35	5	5	79
gene-SAOUHSC_00217	NC_007795.1	237129	238184	+	1056	46	11	13	0	1	43	41	45	41	1	1	163
gene-SAOUHSC_00218	NC_007795.1	238186	238332	+	147	2	0	3	0	4	0	2	1	2	0	1	6
gene-SAOUHSC_00219	NC_007795.1	238356	239399	+	1044	97	36	36	31	32	188	188	203	202	176	178	473
gene-SAOUHSC_00220	NC_007795.1	239969	240643	+	675	17	3	3	15	18	14	18	9	9	1	1	36
gene-SAOUHSC_00221	NC_007795.1	240636	241661	+	1026	31	2	2	40	21	11	12	15	15	23	22	222
gene-SAOUHSC_00222	NC_007795.1	241836	243377	+	1542	23	13	13	91	84	21	20	15	14	35	31	232
gene-SAOUHSC_00223	NC_007795.1	243805	244974	+	1170	5	0	1	30	31	7	7	0	0	15	15	26
gene-SAOUHSC_00225	NC_007795.1	245250	245966	+	717	20	4	3	35	52	18	16	16	16	10	13	45
gene-SAOUHSC_00226	NC_007795.1	245959	246984	+	1026	52	24	25	83	83	86	81	58	64	46	46	191
gene-SAOUHSC_00227	NC_007795.1	247006	248694	+	1689	406	181	187	523	513	343	348	381	384	479	489	1480
gene-SAOUHSC_00228	NC_007795.1	248727	250451	+	1725	43	76	84	236	231	52	48	107	104	131	129	357
gene-SAOUHSC_00229	NC_007795.1	250591	251265	+	675	2	0	1	0	4	0	0	5	2	0	0	6
gene-SAOUHSC_00230	NC_007795.1	251527	253266	+	1740	54	7	7	34	33	24	24	33	33	16	14	106
gene-SAOUHSC_00231	NC_007795.1	253269	254009	+	741	0	0	0	1	3	2	2	0	0	0	0	5
gene-SAOUHSC_00232	NC_007795.1	254122	254565	+	444	140	11	10	25	41	13	13	26	88	19	44	210
gene-SAOUHSC_00233	NC_007795.1	254558	255259	+	702	96	12	11	57	39	9	10	91	56	40	22	486
